REF_AREA,TIME_PERIOD,OBS_VALUE
ARG,2015,10.229
ARG,2016,9.002
ARG,2017,10.442
ARG,2018,9.534
ARG,2019,9.355
ARG,2020,9.984
ARG,2021,9.695
AUS,2015,10.174
AUS,2016,10.09
AUS,2017,10.112
AUS,2018,10.052
AUS,2019,10.213
AUS,2020,10.66
AUS,2021,10.425
AUS,2022,9.927
AUS,2023,9.748
AUT,2015,10.368
AUT,2016,10.352
AUT,2017,10.384
AUT,2018,10.349
AUT,2019,10.488
AUT,2020,11.316
AUT,2021,12.152
AUT,2022,11.157
AUT,2023,10.954
BEL,2015,10.797
BEL,2016,10.793
BEL,2017,10.801
BEL,2018,10.861
BEL,2019,10.76
BEL,2020,11.27
BEL,2021,11.044
BEL,2022,10.759
BEL,2023,10.915
BGR,2015,7.394
BGR,2016,7.46
BGR,2017,7.496
BGR,2018,7.332
BGR,2019,7.092
BGR,2020,8.482
BGR,2021,8.619
BGR,2022,7.664
BGR,2023,7.709
BRA,2015,8.909
BRA,2016,9.169
BRA,2017,9.471
BRA,2018,9.465
BRA,2019,9.614
CAN,2015,10.769
CAN,2016,11.061
CAN,2017,10.934
CAN,2018,10.943
CAN,2019,11.059
CAN,2020,13.024
CAN,2021,12.419
CAN,2022,11.234
CAN,2023,11.224
CHE,2015,11.004
CHE,2016,11.229
CHE,2017,11.413
CHE,2018,11.199
CHE,2019,11.426
CHE,2020,12.004
CHE,2021,12.005
CHE,2022,11.707
CHE,2023,11.972
CHL,2015,8.351
CHL,2016,8.558
CHL,2017,9.091
CHL,2018,9.15
CHL,2019,9.31
CHL,2020,9.697
CHL,2021,9.719
CHL,2022,10.014
CHL,2023,10.048
CHN,2015,4.961
CHN,2016,4.977
CHN,2017,5.047
CHN,2018,5.148
CHN,2019,5.373
CHN,2020,5.66
CHN,2021,5.365
COL,2015,7.523
COL,2016,7.531
COL,2017,7.679
COL,2018,7.625
COL,2019,7.78
COL,2020,8.708
COL,2021,9.017
COL,2022,7.574
COL,2023,7.692
CRI,2015,7.592
CRI,2016,7.315
CRI,2017,7.045
CRI,2018,7.286
CRI,2019,7.221
CRI,2020,7.825
